customer_id,customer_name,email,city,signup_date
1,Vivaan Sharma,vivaan.sharma1@example.com,Ahmedabad,2023-09-08
2,Vihaan Patel,vihaan.patel2@example.com,Mumbai,2024-11-23
3,Krishna Verma,krishna.verma3@example.com,Surat,2024-03-08
4,Aarav Sharma,aarav.sharma4@example.com,Mumbai,2023-08-12
5,Vihaan Das,vihaan.das5@example.com,Surat,2023-01-28
6,Krishna Reddy,krishna.reddy6@example.com,Jaipur,2024-03-05
7,Vihaan Nair,vihaan.nair7@example.com,Surat,2023-10-12
8,Aarav Patel,aarav.patel8@example.com,Kolkata,2023-12-15
9,Arjun Patel,arjun.patel9@example.com,Hyderabad,2025-02-20
10,Reyansh Verma,reyansh.verma10@example.com,Mumbai,2024-01-25
11,Vivaan Mehta,vivaan.mehta11@example.com,Pune,2024-09-10
12,Arjun Sharma,arjun.sharma12@example.com,Chennai,2024-07-03
13,Vivaan Singh,vivaan.singh13@example.com,Mumbai,2024-07-19
14,Arjun Bhat,arjun.bhat14@example.com,Pune,2024-08-14
15,Vihaan Verma,vihaan.verma15@example.com,Bangalore,2024-11-08
16,Vihaan Gupta,vihaan.gupta16@example.com,Mumbai,2025-05-25
17,Vihaan Verma,vihaan.verma17@example.com,Kolkata,2023-10-12
18,Sai Mehta,sai.mehta18@example.com,Delhi,2024-01-15
19,Reyansh Reddy,reyansh.reddy19@example.com,Ahmedabad,2024-12-19
20,Vivaan Bhat,vivaan.bhat20@example.com,Delhi,2024-06-30
21,Vihaan Patel,vihaan.patel21@example.com,Chennai,2024-01-24
22,Arjun Das,arjun.das22@example.com,Hyderabad,2024-12-02
23,Reyansh Sharma,reyansh.sharma23@example.com,Hyderabad,2025-04-21
24,Aarav Mehta,aarav.mehta24@example.com,Kolkata,2023-10-02
25,Vivaan Reddy,vivaan.reddy25@example.com,Surat,2025-06-16
26,Reyansh Reddy,reyansh.reddy26@example.com,Chennai,2024-02-10
27,Sai Patel,sai.patel27@example.com,Ahmedabad,2023-05-23
28,Vihaan Das,vihaan.das28@example.com,Jaipur,2023-09-27
